date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:10	350658/350658	---MCZ	200	added ('OK')	text/html	etag:W/%22549fd-6154042486190%22	https://gt/in/watches/	E:/Website1/samclone/gt/in/watches/index.html	(from https://gt/in/)
15:01:11	33564/33564	---M-Z	200	added ('OK')	text/javascript	etag:%22831c-61540a6887960%22	https://www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/home/ho-g-home-kv-carousel/clientlibs/site.min.js	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/home/ho-g-home-kv-carousel/clientlibs/site.min.js	(from https://gt/in/)
15:01:11	330567/330567	---MCZ	200	added ('OK')	text/html	etag:W/%224fb81-61540465b6160%22	https://gt/in/audio-sound/	E:/Website1/samclone/gt/in/audio-sound/index.html	(from https://gt/in/)
15:01:11	331579/331579	---M-Z	200	added ('OK')	text/html	etag:W/%224ff75-6154049eba470%22	https://gt/in/mobile-accessories/	E:/Website1/samclone/gt/in/mobile-accessories/index.html	(from https://gt/in/)
15:01:11	3658/3658	---M-Z	200	added ('OK')	text/javascript	etag:%22e4a-615409c32b8e0%22	https://www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/common/cm-g-text-block-container/clientlibs/site.min.js	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/common/cm-g-text-block-container/clientlibs/site.min.js	(from https://gt/in/)
15:01:11	5593/5593	---M-Z	200	added ('OK')	text/javascript	etag:%2215d9-615409c4b6d18%22	https://www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/home/ho-g-showcase-card-tab/clientlibs/site.min.js	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/home/ho-g-showcase-card-tab/clientlibs/site.min.js	(from https://gt/in/)
15:01:11	14894/14894	---M-Z	200	added ('OK')	text/javascript	etag:W/%223a2e-61540a6859ee8%22	https://www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/home/ho-g-key-feature-tab/clientlibs/site.min.js	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/home/ho-g-key-feature-tab/clientlibs/site.min.js	(from https://gt/in/)
15:01:12	111827/111827	---M-Z	200	added ('OK')	text/javascript	etag:%221b4d3-61540a1978928%22	https://www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/mySamsung/my-g-recommended-product/clientlibs/site.min.js	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/mySamsung/my-g-recommended-product/clientlibs/site.min.js	(from https://gt/in/)
15:01:12	4187/4187	---M-Z	200	added ('OK')	text/javascript	etag:%22105b-61540a6885e08%22	https://www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/common/cm-g-half-teaser-list/clientlibs/site.min.js	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/common/cm-g-half-teaser-list/clientlibs/site.min.js	(from https://gt/in/)
15:01:12	356854/356854	---MCZ	200	added ('OK')	text/html	etag:W/%2256231-61540532949e8%22	https://gt/in/one-ui/	E:/Website1/samclone/gt/in/one-ui/index.html	(from https://gt/in/)
15:01:12	886/886	---M-Z	200	added ('OK')	text/javascript	etag:%22376-615409cc02018%22	https://www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/home/ho-g-home-search/clientlibs/site.min.js	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/home/ho-g-home-search/clientlibs/site.min.js	(from https://gt/in/)
15:01:12	3088/3088	---M-Z	200	added ('OK')	text/javascript	etag:%22c10-615409eb34170%22	https://www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/common/cm-g-text-editor/clientlibs/site.min.js	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/common/cm-g-text-editor/clientlibs/site.min.js	(from https://gt/in/)
15:01:13	0/0	---M-Z	200	added ('OK')	text/javascript	etag:%220-615409ecbc6c8%22	https://www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/common/cm-g-static-content/clientlibs/site.min.js	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/common/cm-g-static-content/clientlibs/site.min.js	(from https://gt/in/)
15:01:16	436308/436308	---MCZ	200	added ('OK')	text/html	etag:W/%226988e-61540410a9230%22	https://gt/in/mobile/why-galaxy/	E:/Website1/samclone/gt/in/mobile/why-galaxy/index.html	(from https://gt/in/)
15:01:17	578314/578314	---MCZ	200	added ('OK')	text/html	etag:W/%228c345-615403f4b4e30%22	https://gt/in/apps/	E:/Website1/samclone/gt/in/apps/index.html	(from https://gt/in/)
15:01:18	1093131/1093131	---MCZ	200	added ('OK')	text/html	etag:W/%22109e45-61540449f74d8%22	https://gt/in/smartphones/galaxy-s24/	E:/Website1/samclone/gt/in/smartphones/galaxy-s24/index.html	(from https://gt/in/)
15:01:18	1155848/1155848	---MCZ	200	added ('OK')	text/html	etag:W/%22119342-615403f39b648%22	https://gt/in/smartphones/galaxy-s24-ultra/	E:/Website1/samclone/gt/in/smartphones/galaxy-s24-ultra/index.html	(from https://gt/in/)
15:01:21	774057/774057	---MCZ	200	added ('OK')	text/html	etag:W/%22bbfe3-615404534b3e0%22	https://gt/in/smartphones/galaxy-z-flip5/	E:/Website1/samclone/gt/in/smartphones/galaxy-z-flip5/index.html	(from https://gt/in/)
15:01:21	695205/695205	---MCZ	200	added ('OK')	text/html	etag:W/%22a8bdf-61540424f85b0%22	https://gt/in/smartphones/galaxy-z-fold5/	E:/Website1/samclone/gt/in/smartphones/galaxy-z-fold5/index.html	(from https://gt/in/)
15:01:22	1482145/1482145	---MCZ	200	added ('OK')	text/html	etag:W/%22167e15-6154041a518c8%22	https://gt/in/tablets/galaxy-tab-s/galaxy-tab-s9-5g-graphite-256gb-sm-x716bzaeinu/	E:/Website1/samclone/gt/in/tablets/galaxy-tab-s/galaxy-tab-s9-5g-graphite-256gb-sm-x716bzaeinu/index.html	(from https://gt/in/)
15:01:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Apr%202024%2009:31:19%20GMT	https://gt/in/smartphones/galaxy-a55/	E:/Website1/samclone/gt/in/smartphones/galaxy-a55/index.html	(from https://gt/in/)
15:01:23	1533179/1533179	---MCZ	200	added ('OK')	text/html	etag:W/%2217456f-615403f5d2498%22	https://gt/in/watches/galaxy-watch/galaxy-watch6-40mm-gold-bluetooth-sm-r930nzeains/	E:/Website1/samclone/gt/in/watches/galaxy-watch/galaxy-watch6-40mm-gold-bluetooth-sm-r930nzeains/index.html	(from https://gt/in/)
15:01:23	467018/467018	---MCZ	200	added ('OK')	text/html	etag:W/%2271085-61540410bf5a8%22	https://gt/in/computers/galaxy-book/galaxy-book4-pro-16-inch-ultra-7-32gb-1tb-np960xgk-kg3in/	E:/Website1/samclone/gt/in/computers/galaxy-book/galaxy-book4-pro-16-inch-ultra-7-32gb-1tb-np960xgk-kg3in/index.html	(from https://gt/in/)
15:01:23	163/163	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a3-61540a6897b30%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-a3.svg	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-a3.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.12e6dd99e3461a3b18cde162edbaee38.css)
15:01:23	1881930/1881930	---MCZ	200	added ('OK')	text/html	etag:W/%221c97be-6154042843dc8%22	https://gt/in/audio-sound/galaxy-buds/galaxy-buds2-pro-bora-purple-sm-r510nlvainu/	E:/Website1/samclone/gt/in/audio-sound/galaxy-buds/galaxy-buds2-pro-bora-purple-sm-r510nlvainu/index.html	(from https://gt/in/)
15:01:24	1398499/1398499	---MCZ	200	added ('OK')	text/html	etag:W/%2215471d-615405639f8d0%22	https://gt/in/tvs/tv-buying-guide/	E:/Website1/samclone/gt/in/tvs/tv-buying-guide/index.html	(from https://gt/in/)
15:01:24	554/554	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2222a-615409d3e0e60%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-a3.svg	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-a3.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.12e6dd99e3461a3b18cde162edbaee38.css)
15:01:24	373843/373843	---MCZ	200	added ('OK')	text/html	etag:W/%225a48d-615406c09ed00%22	https://gt/in/tvs/qled-tv/highlights/	E:/Website1/samclone/gt/in/tvs/qled-tv/highlights/index.html	(from https://gt/in/)
